HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"3606.90.30.00","2","Ferrocerium and other pyrophoric alloys","[""kg""]","5.9%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA,OM,P, PA,PE,S,SG)","56.7%","",""
"3606.90.40.00","2","Metaldehyde","[""kg""]","Free","","25%","",""
"3606.90.80.00","2","Other","[""kg""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3701","0","Photographic plates and film in the flat, sensitized, unexposed, of any material other than paper, paperboard or textiles; instant print film in the flat, sensitized, unexposed, whether or not in packs:","","","","","",""
"3701.10.00","1","For X-ray","","3.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3701.10.00.30","2","Medical, other than dental","[""m<sup>2<\/sup>""]","","","","",""
"3701.10.00.60","2","Other","[""m<sup>2<\/sup>""]","","","","",""
"3701.20.00","1","Instant print film","","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3701.20.00.30","2","For color photography (polychrome)","[""No.""]","","","","",""
"3701.20.00.60","2","Other","[""No.""]","","","","",""
"3701.30.00.00","1","Other plates and film, with any side exceeding 255 mm","[""m<sup>2<\/sup>""]","Free","","25%","",""
"","1","Other:","","","","","",""
"3701.91.00","2","For color photography (polychrome)","","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3701.91.00.30","3","Disc film","[""No.""]","","","","",""
"3701.91.00.60","3","Other","[""m<sup style=\""font-size: 9.75px;\"">2<\/sup>""]","","","","",""
"3701.99","2","Other:","","","","","",""
"3701.99.30.00","3","Dry plates","[""m<sup>2<\/sup>""]","Free","","20%","",""
"3701.99.60","3","Other","","Free","","25%","",""
"3701.99.60.30","4","Graphic arts film","[""m<sup>2<\/sup>""]","","","","",""
"3701.99.60.60","4","Other","[""m<sup>2<\/sup>""]","","","","",""
"3702","0","Photographic film in rolls, sensitized, unexposed, of any material other than paper, paperboard or textiles; instant print film in rolls, sensitized, unexposed:","","","","","",""
"3702.10.00","1","For X-ray","","3.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3702.10.00.30","2","Medical, other than dental","[""m<sup>2<\/sup>""]","","","","",""
"3702.10.00.60","2","Other","[""m<sup>2<\/sup>""]","","","","",""
"","1","Other film, without perforations, of a width not exceeding 105 mm:","","","","","",""
"3702.31.01.00","2","For color photography (polychrome)","[""No.""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3702.32.01","2","Other, with silver halide emulsion","","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3702.32.01.30","3","Microfilm","[""m<sup>2<\/sup>""]","","","","",""
"3702.32.01.60","3","Other","[""m<sup>2<\/sup>""]","","","","",""
"3702.39.01.00","2","Other","[""m<sup>2<\/sup>""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","1","Other film, without perforations, of a width exceeding <il>105 mm</il>:","","","","","",""
"3702.41.01.00","2","Of a width exceeding 610 mm and of a length exceeding 200 m, for color photography (polychrome)","[""m<sup>2<\/sup>""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3702.42.01.00","2","Of a width exceeding 610 mm and of a length exceeding 200 m, other than for color photography","[""m<sup>2<\/sup>""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3702.43.01.00","2","Of a width exceeding 610 mm and of a length not exceeding 200 m","[""m<sup>2<\/sup>""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3702.44.01","2","Of a width exceeding 105 mm but not exceeding <il>610 mm</il>","","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3702.44.01.30","3","Graphic arts film","[""m<sup>2<\/sup>""]","","","","",""
"3702.44.01.60","3","Other","[""m<sup>2<\/sup>""]","","","","",""
"","1","Other film, for color photography (polychrome):","","","","","",""
"3702.52.01","2","Of a width not exceeding 16 mm","","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3702.52.01.30","3","Reversal color film","[""m<sup>2<\/sup>""]","","","","",""
"3702.52.01.60","3","Other","[""m<sup>2<\/sup>""]","","","","",""
"3702.53.00","2","Of a width exceeding 16 mm but not exceeding 35 mm and of a length not exceeding 30 m, for slides","","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3702.53.00.30","3","35 mm","[""No.""]","","","","",""
"3702.53.00.60","3","Other","[""No.""]","","","","",""
"3702.54.00","2","Of a width exceeding 16 mm but not exceeding 35 mm and of a length not exceeding 30 m, other than for slides","","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3702.54.00.30","3","35 mm","[""No.""]","","","","",""
"3702.54.00.60","3","Other","[""No.""]","","","","",""
"3702.55.00","2","Of a width exceeding 16 mm but not exceeding 35 mm and of a length exceeding 30 m","","Free","","38¢/m<sup>2</sup>","",""
"3702.55.00.30","3","Reversal color film","[""m<sup>2<\/sup>""]","","","","",""
"3702.55.00.60","3","Other","[""m<sup>2<\/sup>""]","","","","",""
"3702.56.00","2","Of a width exceeding 35 mm","","Free","","38¢/m<sup>2</sup>","",""
"3702.56.00.30","3","Motion-picture film","[""m"",""m<sup>2<\/sup>""]","","","","",""
"3702.56.00.60","3","Other","[""m<sup>2<\/sup>""]","","","","",""
"","1","Other:","","","","","",""
"3702.96.00.00","2","Of a width not exceeding <il>35 mm</il> and of a length not exceeding 30 m","[""m<sup>2<\/sup>""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3702.97.00.00","2","Of a width not exceeding <il>35 mm</il> and of a length exceeding <il>30 m</il>","[""m<sup>2<\/sup>""]","Free","","38¢/m<sup>2</sup>","",""
"3702.98.00.00","2","Of a width exceeding <il>35 mm</il>","[""m<sup>2<\/sup>""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3703","0","Photographic paper, paperboard and textiles, sensitized, unexposed:","","","","","",""
"3703.10","1","In rolls of a width exceeding 610 mm:","","","","","",""
"3703.10.30","2","Silver halide papers","","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","3","For pictorial use (continuous tone):","","","","","",""
"3703.10.30.30","4","For color photography (polychrome)","[""m<sup>2<\/sup>""]","","","","",""
"3703.10.30.60","4","Other","[""m<sup>2<\/sup>""]","","","","",""
"3703.10.30.90","3","Other (line reproduction)","[""m<sup>2<\/sup>""]","","","","",""
"3703.10.60.00","2","Other","[""m<sup>2<\/sup>""]","3.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"3703.20","1","Other, for color photography (polychrome):","","","","","",""
"3703.20.30","2","Silver halide papers","","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"3703.20.30.30","3","For pictorial use (continuous tone)","[""m<sup>2<\/sup>""]","","","","",""
"3703.20.30.60","3","Other (line reproduction)","[""m<sup>2<\/sup>""]","","","","",""
"3703.20.60.00","2","Other","[""m<sup>2<\/sup>""]","3.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"3703.90","1","Other:","","","","","",""
"3703.90.30","2","Silver halide papers","","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","3","For pictorial use (continuous tone):","","","","","",""
"3703.90.30.30","4","In sheets","[""m<sup>2<\/sup>""]","","","","",""
"3703.90.30.60","4","Other","[""m<sup>2<\/sup>""]","","","","",""
"3703.90.30.90","3","Other (line reproduction)","[""m<sup>2<\/sup>""]","","","","",""
"3703.90.60.00","2","Other","[""m<sup>2<\/sup>""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"3704.00.00.00","0","Photographic plates, film, paper, paperboard and textiles, exposed but not developed","[""m<sup>2<\/sup>""]","Free","","$3.88/m<sup>2</sup>","",""
"3705.00.00.00","0","Photographic plates and film, exposed and developed, other than cinematographic film","[""m²""]","Free","","25%","",""
"3706","0","Motion-picture film, exposed and developed, whether or not incorporating sound track or consisting only of sound track:","","","","","",""
"3706.10","1","Of a width of 35 mm or more:","","","","","",""
"3706.10.30.00","2","Sound recordings on motion-picture film suitable for use in connection with motion-picture exhibits","[""m""]","1.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","7%","",""
"3706.10.60","2","Other","","Free","","10¢/m","",""
"","3","Feature films:","","","","","",""
"3706.10.60.30","4","Positive release prints","[""m""]","","","","",""
"3706.10.60.60","4","Other","[""m""]","","","","",""
"3706.10.60.90","3","Other","[""m""]","","","","",""
"3706.90.00","1","Other","","Free","","10¢/m","",""
"3706.90.00.30","2","Positive release prints","[""m""]","","","","",""
"3706.90.00.60","2","Other","[""m""]","","","","",""
"3707","0","Chemical preparations for photographic uses (other than varnishes, glues, adhesives and similar preparations); unmixed products for photographic uses, put up in measured portions or put up for retail sale in a form ready for use:","","","","","",""
"3707.10.00","1","Sensitizing emulsions","","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"3707.10.00.05","2","For use in color negative photographic paper","[""kg""]","","","","",""
"3707.10.00.90","2","Other","[""kg""]","","","","",""
"3707.90","1","Other:","","","","","",""
"","2","Chemical preparations for photographic uses:","","","","","",""
"3707.90.31.00","3","Acid violet 19","[""kg""]","Free","","15.4¢/kg + 50%","",""
"3707.90.32","3","Other","","Free","","15.4¢/kg +50%","",""
"3707.90.32.10","4","Unsensitized emulsions, for use in color negative photographic paper","[""kg""]","","","","",""
"3707.90.32.20","4","Couplers, for use in color negative photographic paper","[""kg""]","","","","",""
"3707.90.32.30","4","Coupler dispersions, for use in color negative photographic paper","[""kg""]","","","","",""
"3707.90.32.90","4","Other","[""kg""]","","","","",""
"3707.90.60.00","2","Unmixed products for photographic uses, put up in measured portions or put up for retail sale in a form ready for use","[""kg""]","Free","","4.5%","",""
"3801","0","Artificial graphite; colloidal or semi-colloidal graphite; preparations based on graphite or other carbon in the form of pastes, blocks, plates or other semimanufactures:","","","","","",""
"3801.10","1","Artificial graphite:","","","","","",""
"3801.10.10.00","2","Plates, rods, powder and other forms, wholly or partly manufactured, for manufacturing into brushes for electric generators, motors or other machines or appliances","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"3801.10.50","2","Other","","Free","","10%","",""
"3801.10.50.10","3","Surface-modified spherical graphite","[""kg""]","","","","",""
"3801.10.50.90","3","Other","[""kg""]","","","","",""
"3801.20.00.00","1","Colloidal or semi-colloidal graphite","[""kg""]","Free","","10%","",""
"3801.30.00.00","1","Carbonaceous pastes for electrodes and similar pastes for furnace linings","[""kg""]","4.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"3801.90.00.00","1","Other","[""kg""]","4.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"3802","0","Activated carbon; activated natural mineral products; animal black, including spent animal black:","","","","","",""
"3802.10.00","1","Activated carbon","","4.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"3802.10.00.10","2","Derived from coal","[""kg""]","","","","",""
"3802.10.00.20","2","Derived from coconut","[""kg""]","","","","",""
"3802.10.00.50","2","Other","[""kg""]","","","","",""
"3802.90","1","Other:","","","","","",""
"3802.90.10.00","2","Bone black","[""kg""]","5.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"3802.90.20.00","2","Activated clays and activated earths","[""kg""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","0.6¢/kg +30%","",""
"3802.90.50.00","2","Other","[""kg""]","4.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"3803.00.00.00","0","Tall oil, whether or not refined","[""kg""]","Free","","20%","",""
"3804.00","0","Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or chemically treated, including lignin sulfonates, but excluding tall oil of heading 3803:","","","","","",""
"3804.00.10.00","1","Lignin sulfonic acid and its salts","[""kg""]","Free","","20%","",""
"3804.00.50.00","1","Other","[""kg""]","3.7%","Free (A+,AU,BH,CL,CO,D, E,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","25%","",""
"3805","0","Gum, wood or sulfate turpentine and other terpenic oils produced by the distillation or other treatment of coniferous woods; crude dipentene; sulfite turpentine and other crude para-cymene; pine oil containing alpha-terpineol as the main constituent:","","","","","",""
"3805.10.00.00","1","Gum, wood or sulfate turpentine oils","[""liters""]","5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5%","",""
"3805.90","1","Other:","","","","","",""
"3805.90.10.00","2","Pine oil","[""kg""]","Free","","25%","",""
"3805.90.50.00","2","Other","[""kg""]","3.7%","Free (A+,AU,BH,CL,CO,D, E,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","25%","",""
"3806","0","Rosin and resin acids, and derivatives thereof; rosin spirit and rosin oils; run gums:","","","","","",""
"3806.10.00","1","Rosin and resin acids","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5%","",""
"3806.10.00.10","2","Gum rosin","[""kg""]","","","","",""
"3806.10.00.50","2","Other","[""kg""]","","","","",""
"3806.20.00.00","1","Salts of rosin, of resin acids or of derivatives of rosin or resin acids, other than salts of rosin adducts","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3806.30.00.00","1","Ester gums","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 57%","",""
"3806.90.00.00","1","Other","[""kg""]","4.2%","Free (A,AU,BH,CL,CO,D,E, IL,JO, KR,MA,OM,P, PA,PE,S,SG)","15.4¢/kg + 57%","",""
"3807.00.00.00","0","Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch and similar preparations based on rosin, resin acids or on vegetable pitch","[""kg""]","0.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","0.2%","",""
"3808","0","Insecticides, rodenticides, fungicides, herbicides, antisprouting products and plant-growth regulators, disinfectants and similar products, put up in forms or packings for retail sale or as preparations or articles (for example, sulfur-treated bands, wicks and candles, and flypapers):","","","","","",""
"","1","Good specified in subheading note 1 to this chapter:","","","","","",""
"3808.52.00.00","2","DDT (ISO) (clofenatone (INN)), in packings of a net weight content not exceeding 300 g","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 31%","",""
"3808.59","2","Other:","","","","","",""
"3808.59.10.00","3","Containing any aromatic or modified aromatic pesticide","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 31%","",""
"","3","Other:","","","","","",""
"3808.59.40.00","4","Disinfectants","[""kg""]","5%","Free (A,AU,BH, CL,CO,D,E,IL, JO,K,KR,MA,OM,P, PA,PE,S,SG)","25%","",""
"3808.59.50.00","4","Other","[""kg""]","5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","1","Good specified in subheading note 2 to this chapter:","","","","","",""
"3808.61","2","In packings of a net weight content not exceeding 300 g:","","","","","",""
"3808.61.10.00","3","Containing any aromatic or modified aromatic pesticide","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 31%","",""
"3808.61.50.00","3","Other","[""kg""]","5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3808.62","2","In packings of a net weight content exceeding 300 g but not exceeding 7.5 kg:","","","","","",""
"3808.62.10.00","3","Containing any aromatic or modified aromatic pesticide","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 31%","",""
"3808.62.50.00","3","Other","[""kg""]","5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3808.69","2","Other:","","","","","",""
"3808.69.10.00","3","Containing any aromatic or modified aromatic pesticide","[""kg""]","6.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 31%","",""
"3808.69.50.00","3","Other","[""kg""]","5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","1","Other:","","","","","",""
"3808.91","2","Insecticides:","","","","","",""
"3808.91.10.00","3","Fly ribbons (ribbon fly catchers)","[""kg""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","3","Other:","","","","","",""
"","4","Containing any aromatic or modified aromatic insecticide:","","","","","",""
"3808.91.15.00","5","Mixtures of <i>N</i>-[[(4-chlorophenyl)amino]- carbonyl]-2,6-difluorobenzamide and inert substances","[""kg""]","Free","","15.4¢/kg + 31%","",""
"3808.91.25.01","5","Other","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 31%","",""
"3808.91.30.00","4","Containing an inorganic substance","[""kg""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3808.91.50.01","4","Other","[""kg""]","5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3808.92","2","Fungicides:","","","","","",""
"","3","Containing any aromatic or modified aromatic fungicide:","","","","","",""
"3808.92.05.00","4","Mixtures of dinocap and application adjuvants","[""kg""]","Free","","15.4¢/kg + 31%","",""
"3808.92.15.00","4","Other","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 31%","",""
"","3","Other:","","","","","",""
"","4","Containing any fungicide which is a thioamide, thiocarbamate, dithiocarbamate, thiuram or isothiocyanate:","","","","","",""
"3808.92.24.00","5","Maneb; Zineb; Mancozeb; and Metiram","[""kg""]","Free","","25%","",""
"3808.92.28.00","5","Other","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","4","Other:","","","","","",""
"3808.92.30.00","5","Containing an inorganic substance","[""kg""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3808.92.50","5","Other","","5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3808.92.50.40","6","Formulated fungicides containing any 3-iodoprop-2-yn-1-yl butylcarbamate(IPBC)","[""kg""]","","","","",""
"3808.92.50.80","6","Other","[""kg""]","","","","",""
"3808.93","2","Herbicides, anti-sprouting products and plant-growth regulators:","","","","","",""
"","3","Containing any aromatic or modified aromatic herbicide, anti-sprouting agent or plant-growth regulator:","","","","","",""
"3808.93.05.00","4","Mixtures of 2,6-dichlorobenzonitrile and inerts; Mixtures of 3,5-dichloro-N-(1,1-dimethyl-2- propynyl) benzamide (Pronamide) and application adjuvants; Mixtures of 2-[(1-ethoxyimino)butyl]-5-[2- ethylthiopropyl]-3-hydroxy-2-cyclohexen-1- one (Sethoxydim) and application adjuvants; Mixtures of ethyl 2-[4-[(6-chloro-2- benzoxazolyl)oxy]phenoxy]propanoate (Fenoxaprop-ethyl) and isooctyl 2,4-dichlorophenoxyacetate; Mixtures of isooctyl 2-methyl-4-chlorophen- oxyacetate and application adjuvants","[""kg""]","Free","","15.4¢/kg + 31%","",""
"3808.93.15.00","4","Other","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 31%","",""
"","3","Other:","","","","","",""
"3808.93.20.00","4","Containing an inorganic substance","[""kg""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3808.93.50","4","Other","","5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3808.93.50.10","5","Mixtures of 2-amino-4-[hydroxy(methyl)phosphonoyl] butanoic acid (glufosinate) or its salts or esters and application adjuvants","[""kg""]","","","","",""
"3808.93.50.20","5","Mixtures of N-(phosphonomethyl) glycine (glyphosate) or its salts or esters and application adjuvants","[""kg""]","","","","",""
"3808.93.50.40","5","Other","[""kg""]","","","","",""
"3808.94","2","Disinfectants:","","","","","",""
"3808.94.10.00","3","Containing any aromatic or modified aromatic disinfectant","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 31%","",""
"3808.94.50","3","Other","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3808.94.50.10","4","Wipes, other than paper wipes or nonwoven wipes, impregnated with alcohol or other disinfectants","[""kg""]","","","","",""
"3808.94.50.50","4","Hydrogen peroxide put up in disinfectant preparations for sanitizing or disinfecting surfaces.","[""kg""]","","","","",""
"3808.94.50.80","4","Alcohol-based hand sanitizer containing 60 percent or more by weight of ethanol, of a kind described in statistical note 1 to this chapter","[""kg""]","","","","",""
"3808.94.50.95","4","Other","[""kg""]","","","","",""
"3808.99","2","Other:","","","","","",""
"","3","Containing any aromatic or modified aromatic pesticide:","","","","","",""
"3808.99.04.00","4","Mixtures of 1,1-bis(4-chlorophenyl)-2,2,2- trichloroethanol (Dicofol) and application adjuvants","[""kg""]","Free","","15.4¢/kg + 31%","",""
"3808.99.08.00","4","Other","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 31%","",""
"","3","Other:","","","","","",""
"3808.99.30.00","4","Formulated biocides based on 2-methyl-4-isothiazolin-3-one, or 2-n-octyl-4-isothiazolin-3-one, or 4,5-dichloro-2-n-octyl-4-isothiazolin-3-one, or mixtures of 5-chloro-2-methyl-4- isothiazolin-3-one and 2-methyl-4- isothiazolin-3-one; and Metaldehyde","[""kg""]","Free","","25%","",""
"","4","Other:","","","","","",""
"3808.99.70.00","5","Containing an inorganic substance","[""kg""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3808.99.95.01","5","Other","[""kg""]","5%","Free (A+,AU,BH,CL,CO,D, E,IL, JO,KR,MA,OM,P, PA,PE,S,SG)","25%","",""
