HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"9102.19.80","4","Other","","57¢ each + 4.5% on the case + 2.1% on the strap, band or bracelet + 4% on the battery","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$2.70 each + 45% on the case + 35% on the strap, band or bracelet + 35% on the battery","",""
"","1","Other wrist watches, whether or not incorporating a stop watch facility:","","","","","",""
"9102.21","2","With automatic winding:","","","","","",""
"","3","Having no jewels or only one jewel in the movement:","","","","","",""
"9102.21.10","4","With strap, band or bracelet of textile material or of base metal, whether or not gold- or silver-plated","","75¢ each + 6% on the case + 14% on the strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$2.70 each + 45% on the case + 110% on the strap, band or bracelet","",""
"9102.21.25","4","Other","","75¢ each + 6% on the case + 2.8% on the strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$2.70 each + 45% on the case + 35% on the strap, band or bracelet","",""
"","3","Having over one jewel but not over 17 jewels in the movement:","","","","","",""
"9102.21.30","4","With strap, band or bracelet of textile material or of base metal, whether or not gold- or silver-plated","","$1.75 each + 4.8% on the case + 11.2% on the strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$5.20 each + 45% on the case + 110% on the strap, band or bracelet","",""
"9102.21.50","4","Other","","$1.75 each + 4.8% on the case + 2.2% on the strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$5.20 each + 45% on the case + 35% on the strap, band or bracelet","",""
"","3","Having over 17 jewels in the movement:","","","","","",""
"9102.21.70","4","With strap, band or bracelet of textile material or of base metal, whether or not gold- or silver-plated","","$1.53 each + 4.2% on the case + 9.8% on the strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$10.95 each + 45% on the case + 110% on the strap, band or bracelet","",""
"9102.21.90","4","Other","","$1.53 each + 4.2% on the case + 2% on the strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$10.95 each + 45% on the case + 35% on the strap, band or bracelet","",""
"9102.29","2","Other:","","","","","",""
"","3","Having no jewels or only one jewel in the movement:","","","","","",""
"","4","With strap, band or bracelet of textile material or of base metal, whether or not gold- or silver-plated:","","","","","",""
"9102.29.02.00","5","Straps, bands or bracelets entered with watches of subheading 9102.29.04 and classifiable therewith pursuant to additional U.S. note 2 to this chapter; all the foregoing whether or not attached to such watches at the time of entry","[""No.""]","14%","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","110%","",""
"9102.29.04","5","Other","","40¢ each + 6% on the case","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$1.70 each + 45% on the case","",""
"9102.29.10","4","Other","","40¢ each + 6% on the case + 2.8% on the strap, band or bracelet","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$1.70 each + 45% on the case + 35% on the strap, band or bracelet","",""
"","3","Having over one jewel but not over 7 jewels in the movement:","","","","","",""
"9102.29.15","4","With strap, band or bracelet of textile material or of base metal, whether or not gold- or silver-plated","","58¢ each + 4.6% on the case + 10.6% on the strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$2.70 each + 45% on the case + 110% on the strap, band or bracelet","",""
"9102.29.20","4","Other","","56¢ each + 4.4% on the case + 2% on the strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE, R,S,SG)","$2.70 each + 45% on the case + 35% on the strap, band or bracelet","",""
"","3","Having over 7 but not over 17 jewels in the movement:","","","","","",""
"","4","With movement valued not over $15 each:","","","","","",""
"","5","With movement measuring not over 15.2 mm:","","","","","",""
"9102.29.25","6","With strap, band or bracelet of textile material or of base metal, whether or not gold- or silver- plated","","$2.19 each + 4.8% on the case + 11.2% on the strap, band or bracelet","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$4.20 each + 45% on the case + 110% on the strap, band or bracelet","",""
"9102.29.30","6","Other","","$2.19 each + 4.8% on the case + 2.2% on the strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$4.20 each + 45% on the case + 35% on the strap, band or bracelet","",""
"","5","With movement measuring over 15.2 mm:","","","","","",""
"9102.29.35","6","With strap, band or bracelet of textile material or of base metal, whether or not gold- or silver- plated","","$1.61 each + 4.2% on the case + 9.8% on the strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE, R,S,SG)","$4.20 each + 45% on the case + 110% on the strap, band or bracelet","",""
"9102.29.40","6","Other","","$1.83 each + 4.8% on the case + 2.2% on the strap, band or bracelet","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$4.20 each + 45% on the case + 35% on the strap, band or bracelet","",""
"","4","With movement valued over $15 each:","","","","","",""
"9102.29.45","5","With strap, band or bracelet of textile material or of base metal, whether or not gold- or silver-plated","","93¢ each + 4.8% on the case + 11.2% on the strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$4.20 each + 45% on the case + 110% on the strap, band or bracelet","",""
"9102.29.50","5","Other","","93¢ each + 4.8% on the case + 2.2% on the strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$4.20 each + 45% on the case + 35% on the strap, band or bracelet","",""
"","3","Having over 17 jewels in the movement:","","","","","",""
"9102.29.55","4","With strap, band or bracelet of textile material or of base metal, whether or not gold-or silver-plated","","$1.55 each + 4.2% on the case + 9.9% on the strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$10.95 each + 45% on the case + 110% on the strap, band or bracelet","",""
"9102.29.60","4","Other","","$1.75 each + 4.8% on the case + 2.2% on the strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$10.95 each + 45% on the case + 35% on the strap, band or bracelet","",""
"","1","Other:","","","","","",""
"9102.91","2","Electrically operated:","","","","","",""
"9102.91.20","3","With opto-electronic display only","","3.9% on the movement and case + 5.3% on the battery","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","35%","",""
"","3","Other:","","","","","",""
"9102.91.40","4","Having no jewels or only one jewel in the movement","","40¢ each + 6% on the case + 5.3% on the battery","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$1.70 each + 45% on the case + 35% on the battery","",""
"9102.91.80","4","Other","","76¢ each + 6% on the case + 5.3% on the battery","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$2.70 each + 45% on the case + 35% on thebattery","",""
"9102.99","2","Other:","","","","","",""
"9102.99.20","3","Having no jewels or not over 7 jewels in the movement","","20¢ each + 3% on the case","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$1.70 each + 45% on the case","",""
"","3","Having over 7 but not over 17 jewels in the movement:","","","","","",""
"9102.99.40","4","With movement valued not over $15 each","","92¢ each + 3% on the case","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$4.20 each + 45% on the case","",""
"9102.99.60","4","With movement valued over $15 each","","$1.16 each + 6% on the case","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$4.20 each + 45% on the case","",""
"9102.99.80","3","Having over 17 jewels in the movement","","$2.19 each + 6% on the case","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$10.95 each + 45% on the case","",""
"9103","0","Clocks with watch movements, excluding clocks of heading 9104:","","","","","",""
"9103.10","1","Electrically operated:","","","","","",""
"9103.10.20","2","With opto-electronic display only","","2.6% on the movement and case + 3.6% on the battery","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","35%","",""
"","2","Other:","","","","","",""
"9103.10.40","3","Having no jewels or only one jewel in the movement","","24¢ each + 4.5% on the case + 3.5% on the battery","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","$1.50 each + 45% on the case + 35% on the battery","",""
"9103.10.80","3","Other","","48¢ each + 4.6% on the case + 3.5% on the battery","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","$2.50 each + 45% on the case + 35% on the battery","",""
"9103.90.00","1","Other","","24¢ each + 4.6% on the case","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","$1.50 each + 45% on the case","",""
"9104.00","0","Instrument panel clocks and clocks of a similar type for vehicles, aircraft, spacecraft or vessels:","","","","","",""
"","1","With clock movements measuring over 50 mm in width or diameter:","","","","","",""
"","2","Valued not over $10 each:","","","","","",""
"9104.00.05","3","With opto-electronic display only","","2.6% on the movement and case + 3.5% on the battery","Free (A+,AU,B,BH, C,CL,CO,D,E, IL,JO,KR, MA,OM,P, PA,PE,S,SG)","35%","",""
"","3","Other:","","","","","",""
"9104.00.10","4","Electric (including battery operated)","","20¢ each + 4.3% on the movement and case + 3.5% on the battery","Free (A+,AU,B,BH, C,CL,CO,D,E, IL,JO,KR,MA,OM,P, PA,PE,S,SG)","$3 each + 65% on the movement and case + 35% on the battery","",""
"9104.00.20.00","4","Other","[""No.""]","30¢ each + 6.4%","Free (A+,AU,B,BH, C,CL,CO,D,E, IL,JO,KR,MA,OM,P, PA,PE,S,SG)","$3 each + 65%","",""
"","2","Valued over $10 each:","","","","","",""
"9104.00.25","3","With opto-electronic display only","","3.9% on the movement and case + 5.3% on the battery","Free (A+,AU,B,BH, C,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","35%","",""
"","3","Other:","","","","","",""
"9104.00.30","4","Electric (including battery operated)","","30¢ each + 4.3% on the movement and case + 3.5% on the battery","Free (A+,AU,B,BH, C,CL,CO,D, E,IL,JO,KR,MA,OM,P, PA,PE,S,SG)","$4.50 each + 65% on the movement and case + 35% on the battery","",""
"9104.00.40.00","4","Other","[""No.""]","30¢ each + 4.3%","Free (A+,AU,B,BH, C,CL,CO,D, E,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","$4.50 each + 65%","",""
"","1","Other:","","","","","",""
"9104.00.45","2","With opto-electronic display only","","2.6% on the movement and case + 3.5% on the battery","Free (A+,AU,B,BH, C,CL,CO,D, E,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","35%","",""
"","2","Other:","","","","","",""
"9104.00.50","3","Electric (including battery operated)","","20¢ each + 4.6% on the case + 3.5% on the battery","Free (A+,AU,B,BH, C,CL,CO,D, E,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","75¢ each + 45% on the case + 35% on the battery","",""
"9104.00.60","3","Other","","19¢ each + 4.5% on the case","Free (A+,AU,B,BH, C,CL,CO,D, E,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","75¢ each + 45% on the case","",""
"9105","0","Other clocks:","","","","","",""
"","1","Alarm clocks:","","","","","",""
"9105.11","2","Electrically operated:","","","","","",""
"9105.11.40","3","With opto-electronic display only","","3.9% on the movement and case + 5.3% on the battery","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","35%","",""
"9105.11.80","3","Other","","30¢ each + 6.9% on the case + 5.3% on the battery","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75¢ each + 45% on the case + 35% on the battery","",""
"9105.19","2","Other:","","","","","",""
"","3","With movement measuring not over 50 mm in width or diameter:","","","","","",""
"9105.19.10","4","Not constructed or designed to operate for over 47 hours without rewinding","","30¢ each + 6.9% on the case","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","75¢ each + 45% on the case","",""
"","4","Constructed or designed to operate for over 47 hours without rewinding:","","","","","",""
"9105.19.20","5","Having no jewels or only one jewel","","60¢ each + 6.9% on the case","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR, MA,OM,P, PA,PE,S,SG)","$1.75 each + 45% on the case","",""
"9105.19.30","5","Having over one jewel","","43¢ each + 2.8¢/jewel over 7 + 3.7% on the case","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR, MA,OM,P, PA,PE,S,SG)","$2.25 each + 15¢/jewel over 7 + 60% on the case","",""
"","3","Other:","","","","","",""
"9105.19.40.00","4","Valued not over $5 each","[""No.""]","15¢ each + 6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$1.50 each + 65%","",""
"9105.19.50.00","4","Valued over $5 each","[""No.""]","23¢ each + 3.2%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","$4.50 each + 65%","",""
"","1","Wall clocks:","","","","","",""
"9105.21","2","Electrically operated:","","","","","",""
"9105.21.40","3","With opto-electronic display only","","3.9% on the movement and case+ 5.3% on the battery","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","35%","",""
"9105.21.80","3","Other","","30¢ each + 6.9% on the case + 5.3% on the battery","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","75¢ each + 45% on the case + 35% on the battery","",""
"9105.29","2","Other:","","","","","",""
"","3","With movement measuring not over 50 mm in width or diameter:","","","","","",""
"9105.29.10","4","Not constructed or designed to operate for over 47 hours without rewinding","","20¢ each + 4.6% on the case","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","75¢ each + 45% on the case","",""
"","4","Constructed or designed to operate for over 47 hours without rewinding:","","","","","",""
"9105.29.20","5","Having no jewels or only one jewel","","40¢ each + 4.6% on the case","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","$1.75 each + 45% on the case","",""
"9105.29.30","5","Having over one jewel","","57¢ each + 3.7¢/jewel over 7 + 4.9% on the case","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","$2.25 each + 15¢/jewel over 7 + 60% on the case","",""
"","3","Other:","","","","","",""
"9105.29.40.00","4","Valued not over $5 each","[""No.""]","15¢ each + 6.4%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$1.50 each + 65%","",""
"9105.29.50.00","4","Valued over $5 each","[""No.""]","30¢ each + 4.3%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","$4.50 each + 65%","",""
"","1","Other:","","","","","",""
"9105.91","2","Electrically operated:","","","","","",""
"9105.91.40","3","With opto-electronic display only","","3.9% on the movement and case+ 5.3% on the battery","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","35%","",""
"9105.91.80","3","Other","","30¢ each + 6.9% on the case + 5.3% on the battery","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P, PA,PE,S,SG)","75¢ each + 45% on the case + 35% on the battery","",""
"9105.99","2","Other:","","","","","",""
"9105.99.10.00","3","Standard marine chronometers having spring-detent escapements","[""No."",""Jwls.""]","17¢ each + 2.5% + 1¢/jewel","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$4.50 each + 65% + 25¢/jewel","",""
"","3","Other, with movement measuring not over 50 mm in width or diameter:","","","","","",""
"9105.99.20","4","Not constructed or designed to operate for over 47 hours without rewinding","","Free","","75¢ each + 45% on the case","",""
"","4","Constructed or designed to operate for over 47 hours without rewinding:","","","","","",""
"9105.99.30","5","Having no jewels or only one jewel","","Free","","$1.75 each + 45% on the case","",""
"9105.99.40","5","Having over one jewel","","Free","","$2.25 each + 15¢/jewel over 7 + 60% on the case","",""
"","3","Other:","","","","","",""
"9105.99.50.00","4","Valued not over $5 each","[""No.""]","7.5¢ each + 3.2%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","$1.50 each + 65%","",""
