HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"0603.19.01.05","3","Anthuriums","[""No.""]","","","","",""
"0603.19.01.07","3","Alstroemeria","[""No.""]","","","","",""
"0603.19.01.09","3","Aster","[""No.""]","","","","",""
"0603.19.01.11","3","Bells of Ireland","[""No.""]","","","","",""
"0603.19.01.13","3","Bird of Paradise","[""No.""]","","","","",""
"0603.19.01.14","3","Calla lilies","[""No.""]","","","","",""
"0603.19.01.15","3","Daffodils","[""No.""]","","","","",""
"0603.19.01.16","3","Delphinium","[""No.""]","","","","",""
"0603.19.01.17","3","Freesia","[""No.""]","","","","",""
"0603.19.01.18","3","Gerbera","[""No.""]","","","","",""
"0603.19.01.19","3","Gladiolus","[""No.""]","","","","",""
"0603.19.01.20","3","Gypsophila","[""No.""]","","","","",""
"0603.19.01.25","3","Hydrangea","[""No.""]","","","","",""
"0603.19.01.27","3","Hypericum","[""No.""]","","","","",""
"0603.19.01.29","3","Lisianthus","[""No.""]","","","","",""
"0603.19.01.31","3","Peony","[""No.""]","","","","",""
"0603.19.01.35","3","Ranunculus","[""No.""]","","","","",""
"0603.19.01.37","3","Scabiosa","[""No.""]","","","","",""
"0603.19.01.40","3","Snapdragons","[""No.""]","","","","",""
"0603.19.01.41","3","Statice","[""No.""]","","","","",""
"0603.19.01.42","3","Stock","[""No.""]","","","","",""
"0603.19.01.43","3","Sunflowers","[""No.""]","","","","",""
"0603.19.01.45","3","Tulips","[""No.""]","","","","",""
"0603.19.01.55","3","Campanula","[""No.""]","","","","",""
"0603.19.01.97","3","Other","[""No.""]","","","","",""
"0603.90.00.00","1","Other","[""No.""]","4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"0604","0","Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared:","","","","","",""
"0604.20.00","1","Fresh","","Free","","Free","",""
"0604.20.00.05","2","Aralia","[""No.""]","","","","",""
"0604.20.00.11","2","Aspidistra","[""No.""]","","","","",""
"0604.20.00.15","2","Eucalyptus","[""No.""]","","","","",""
"","2","Evergreen Christmas trees:","","","","","",""
"0604.20.00.20","3","Douglas fir","[""No.""]","","","","",""
"0604.20.00.40","3","Fir except Douglas fir","[""No.""]","","","","",""
"0604.20.00.60","3","Other","[""No.""]","","","","",""
"","2","Ferns:","","","","","",""
"0604.20.00.65","3","Leather leaf","[""No.""]","","","","",""
"0604.20.00.70","3","Other","[""No.""]","","","","",""
"0604.20.00.72","2","Mosses and lichens","[""No.""]","","","","",""
"","2","Palms:","","","","","",""
"0604.20.00.74","3","Chamadorea","[""No.""]","","","","",""
"0604.20.00.78","3","Other","[""No.""]","","","","",""
"0604.20.00.82","2","Pittosporum","[""No.""]","","","","",""
"0604.20.00.84","2","Ruscus","[""No.""]","","","","",""
"0604.20.00.86","2","Other","[""No.""]","","","","",""
"0604.90","1","Other:","","","","","",""
"0604.90.10.00","2","Mosses and lichens","[""No.""]","Free","","Free","",""
"","2","Other:","","","","","",""
"0604.90.30.00","3","Dried or bleached","[""No.""]","Free","","Free","",""
"0604.90.60.00","3","Other","[""No.""]","7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"0701","0","Potatoes, fresh or chilled:","","","","","",""
"0701.10.00","1","Seed","","0.5¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","1.7¢/kg","",""
"0701.10.00.20","2","In immediate containers of not over 45 kg net weight","[""kg""]","","","","",""
"0701.10.00.40","2","Other","[""kg""]","","","","",""
"0701.90","1","Other:","","","","","",""
"0701.90.10","2","Yellow (Solano) potatoes","[""""]","0.5¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","1.7¢/kg","",""
"0701.90.10.10","3","Certified organic","[""kg""]","","","","",""
"0701.90.10.60","3","Other","[""kg""]","","","","",""
"0701.90.50","2","Other","","0.5¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","1.7¢/kg","",""
"","3","In immediate containers of not over 1200 kg net weight:","","","","","",""
"0701.90.50.05","4","Certified organic","[""kg""]","","","","",""
"0701.90.50.17","4","Russet or netted gem varieties","[""kg""]","","","","",""
"0701.90.50.21","4","Red skin varieties","[""kg""]","","","","",""
"0701.90.50.37","4","White varieties","[""kg""]","","","","",""
"0701.90.50.41","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"0701.90.50.43","4","Certified organic","[""kg""]","","","","",""
"0701.90.50.46","4","Russet or netted gem varieties","[""kg""]","","","","",""
"0701.90.50.56","4","Red skin varieties","[""kg""]","","","","",""
"0701.90.50.66","4","White varieties","[""kg""]","","","","",""
"0701.90.50.76","4","Other","[""kg""]","","","","",""
"0702.00","0","Tomatoes, fresh or chilled:","","","","","",""
"0702.00.20","1","If entered during the period from March 1 to July 14, inclusive, or the period from September 1 to November 14, inclusive, in any year","","3.9¢/kg","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"","2","Greenhouse:","","","","","",""
"","3","Certified organic:","","","","","",""
"0702.00.20.02","4","Grape","[""kg""]","","","","",""
"0702.00.20.04","4","Roma (plum type)","[""kg""]","","","","",""
"0702.00.20.06","4","Round, of a kind described in statistical note 2 to this chapter","[""kg""]","","","","",""
"0702.00.20.08","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"0702.00.20.19","4","Cherry","[""kg""]","","","","",""
"0702.00.20.26","4","Grape","[""kg""]","","","","",""
"0702.00.20.32","4","Roma (plum type)","[""kg""]","","","","",""
"0702.00.20.36","4","Round, of a kind described in statistical note 2 to this chapter","[""kg""]","","","","",""
"0702.00.20.42","4","Other","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"","3","Certified organic:","","","","","",""
"0702.00.20.43","4","Grape","[""kg""]","","","","",""
"0702.00.20.44","4","Roma (plum type)","[""kg""]","","","","",""
"0702.00.20.48","4","Round, of a kind described in statistical note 2 to this chapter","[""kg""]","","","","",""
"0702.00.20.50","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"0702.00.20.52","4","Cherry","[""kg""]","","","","",""
"0702.00.20.62","4","Grape","[""kg""]","","","","",""
"0702.00.20.66","4","Roma (plum type)","[""kg""]","","","","",""
"0702.00.20.81","4","Round, of a kind described in statistical note 2 to this chapter","[""kg""]","","","","",""
"0702.00.20.92","4","Other","[""kg""]","","","","",""
"0702.00.40","1","If entered during the period from July 15 to August 31, inclusive, in any year","","2.8¢/kg","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"","2","Greenhouse:","","","","","",""
"","3","Certified organic:","","","","","",""
"0702.00.40.02","4","Grape","[""kg""]","","","","",""
"0702.00.40.04","4","Roma (plum type)","[""kg""]","","","","",""
"0702.00.40.06","4","Round, of a kind described in statistical note 2 to this chapter","[""kg""]","","","","",""
"0702.00.40.08","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"0702.00.40.19","4","Cherry","[""kg""]","","","","",""
"0702.00.40.21","4","Grape","[""kg""]","","","","",""
"0702.00.40.23","4","Roma (plum type)","[""kg""]","","","","",""
"0702.00.40.27","4","Round, of a kind described in statistical note 2 to this chapter","[""kg""]","","","","",""
"0702.00.40.32","4","Other","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"0702.00.40.37","3","Certified organic","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"0702.00.40.41","4","Cherry","[""kg""]","","","","",""
"0702.00.40.47","4","Grape","[""kg""]","","","","",""
"0702.00.40.66","4","Roma (plum type)","[""kg""]","","","","",""
"0702.00.40.81","4","Round, of a kind described in statistical note 2 to this chapter","[""kg""]","","","","",""
"0702.00.40.92","4","Other","[""kg""]","","","","",""
"0702.00.60","1","If entered during the period from November 15, in any year, to the last day of the following February, inclusive","","2.8¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"","2","Greenhouse:","","","","","",""
"","3","Certified organic:","","","","","",""
"0702.00.60.02","4","Grape","[""kg""]","","","","",""
"0702.00.60.04","4","Roma (plum type)","[""kg""]","","","","",""
"0702.00.60.06","4","Round, of a kind described in statistical note 2 to this chapter","[""kg""]","","","","",""
"0702.00.60.08","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"0702.00.60.19","4","Cherry","[""kg""]","","","","",""
"0702.00.60.21","4","Grape","[""kg""]","","","","",""
"0702.00.60.23","4","Roma (plum type)","[""kg""]","","","","",""
"0702.00.60.27","4","Round, of a kind described in statistical note 2 to this chapter","[""kg""]","","","","",""
"0702.00.60.32","4","Other","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"","3","Certified organic:","","","","","",""
"0702.00.60.33","4","Grape","[""kg""]","","","","",""
"0702.00.60.34","4","Roma (plum type)","[""kg""]","","","","",""
"0702.00.60.37","4","Round, of a kind described in statistical note 2 to this chapter","[""kg""]","","","","",""
"0702.00.60.38","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"0702.00.60.39","4","Cherry","[""kg""]","","","","",""
"0702.00.60.46","4","Grape","[""kg""]","","","","",""
"0702.00.60.66","4","Roma (plum type)","[""kg""]","","","","",""
"0702.00.60.81","4","Round, of a kind described in statistical note 2 to this chapter","[""kg""]","","","","",""
"0702.00.60.92","4","Other","[""kg""]","","","","",""
"0703","0","Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled:","","","","","",""
"0703.10","1","Onions and shallots:","","","","","",""
"0703.10.20.00","2","Onion sets","[""kg""]","0.83¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5.5¢/kg","",""
"","2","Other:","","","","","",""
"0703.10.30.00","3","Pearl onions not over 16 mm in diameter","[""kg""]","0.96¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5.5¢/kg","",""
"0703.10.40","3","Other","","3.1¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5.5¢/kg","",""
"","4","Certified organic:","","","","","",""
"0703.10.40.25","5","Onions","[""kg""]","","","","",""
"0703.10.40.45","5","Other","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"","5","Onions:","","","","","",""
"0703.10.40.55","6","Red varieties","[""kg""]","","","","",""
"0703.10.40.60","6","White varieties","[""kg""]","","","","",""
"0703.10.40.64","6","Yellow varieties, not marked sweet","[""kg""]","","","","",""
"0703.10.40.66","6","Yellow varieties, marked sweet","[""kg""]","","","","",""
"0703.10.40.68","6","Other","[""kg""]","","","","",""
"0703.10.40.70","5","Shallots","[""kg""]","","","","",""
"0703.10.40.75","5","Other","[""kg""]","","","","",""
"0703.20.00","1","Garlic","","0.43¢/kg","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","3.3¢/kg","",""
"","2","Fresh whole bulbs:","","","","","",""
"0703.20.00.05","3","Certified organic","[""kg""]","","","","",""
"0703.20.00.15","3","Other","[""kg""]","","","","",""
"0703.20.00.20","2","Fresh whole peeled cloves","[""kg""]","","","","",""
"0703.20.00.90","2","Other","[""kg""]","","","","",""
"0703.90.00","1","Leeks and other alliaceous vegetables","","20%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"0703.90.00.20","2","Green onions of a species other than <i>Allium cepa</i>","[""kg""]","","","","",""
"0703.90.00.40","2","Other","[""kg""]","","","","",""
"0704","0","Cabbages, cauliflower, kohlrabi, kale and similar edible brassicas, fresh or chilled:","","","","","",""
"0704.10","1","Cauliflowers and broccoli (<i>Brassica oleracea</i> var. <i>botrytis</i>):","","","","","",""
"0704.10.20.00","2","If entered during the period from June 5 to October 15, inclusive, in any year","[""kg""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"","2","Other:","","","","","",""
"0704.10.40.00","3","Not reduced in size","[""kg""]","10%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"0704.10.60.00","3","Cut, sliced or otherwise reduced in size","[""kg""]","14%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0704.20.00.00","1","Brussels sprouts","[""kg""]","12.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"0704.90","1","Other (including sprouting broccoli (<i>Brassica oleracea</i> var. <i>italica</i>)):","","","","","",""
"0704.90.20.00","2","Cabbage","[""kg""]","0.54¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","4.4¢/kg","",""
"0704.90.40","2","Other","","20%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"0704.90.40.15","3","Bok choy","[""kg""]","","","","",""
"","3","Broccoli:","","","","","",""
"0704.90.40.22","4","Certified organic","[""kg""]","","","","",""
"0704.90.40.24","4","Other","[""kg""]","","","","",""
"0704.90.40.28","3","Collards","[""kg""]","","","","",""
"0704.90.40.35","3","Kale","[""kg""]","","","","",""
"0704.90.40.45","3","Napa cabbage","[""kg""]","","","","",""
"0704.90.40.55","3","Other","[""kg""]","","","","",""
"0705","0","Lettuce (<i>Lactuca sativa</i>) and chicory (<i>Cichorium</i> spp.), fresh or chilled:","","","","","",""
"","1","Lettuce:","","","","","",""
"0705.11","2","Head lettuce (cabbage lettuce):","","","","","",""
"0705.11.20.00","3","If entered in the period from June 1 to October 31, inclusive, in any year","[""kg""]","0.4¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","4.4¢/kg","",""
"0705.11.40.00","3","Other","[""kg""]","3.7¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","4.4¢/kg","",""
"0705.19","2","Other:","","","","","",""
"0705.19.20","3","If entered in the period from June 1 to October 31, inclusive, in any year","","0.4¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","4.4¢/kg","",""
"0705.19.20.20","4","Romaine lettuce","[""kg""]","","","","",""
"0705.19.20.40","4","Butterhead lettuce","[""kg""]","","","","",""
"0705.19.20.60","4","Red and green leaf lettuce","[""kg""]","","","","",""
"0705.19.20.80","4","Other","[""kg""]","","","","",""
"0705.19.40","3","Other","","3.7¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","4.4¢/kg","",""
"0705.19.40.20","4","Romaine lettuce","[""kg""]","","","","",""
"0705.19.40.40","4","Butterhead lettuce","[""kg""]","","","","",""
"0705.19.40.60","4","Red and green leaf lettuce","[""kg""]","","","","",""
"0705.19.40.80","4","Other","[""kg""]","","","","",""
"","1","Chicory:","","","","","",""
"0705.21.00.00","2","Witloof chicory (<i>Cichorium intybus</i> var. <i>foliosum</i>)","[""kg""]","0.15¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","4.4¢/kg","",""
"0705.29.00.00","2","Other","[""kg""]","0.15¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","4.4¢/kg","",""
"0706","0","Carrots, turnips, salad beets (salad beetroot), salsify, celeriac, radishes and similar edible roots, fresh or chilled:","","","","","",""
"0706.10","1","Carrots and turnips:","","","","","",""
"","2","Carrots:","","","","","",""
"0706.10.05.00","3","Reduced in size","[""kg""]","14.9%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","3","Other:","","","","","",""
"0706.10.10.00","4","Under 10 cm in length","[""kg""]","1.4¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","17.6¢/kg","",""
"0706.10.20.00","4","Other","[""kg""]","0.7¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","8.8¢/kg","",""
"0706.10.40.00","2","Turnips","[""kg""]","Free","","0.6¢/kg","",""
"0706.90","1","Other:","","","","","",""
"0706.90.20.00","2","Radishes","[""kg""]","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"0706.90.30.00","2","Beets and horseradish","[""kg""]","1.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","12%","",""
"0706.90.40","2","Other","","10%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"0706.90.40.20","3","Celeriac","[""kg""]","","","","",""
"0706.90.40.40","3","Other","[""kg""]","","","","",""
"0707.00","0","Cucumbers, including gherkins, fresh or chilled:","","","","","",""
"0707.00.20","1","If entered during the period from December 1 in any year to the last day of the following February, inclusive","","4.2¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"0707.00.20.15","2","Gherkins","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"","3","Greenhouse:","","","","","",""
"","4","Certified organic:","","","","","",""
"0707.00.20.37","5","Persian","[""kg""]","","","","",""
"0707.00.20.40","5","Long seedless","[""kg""]","","","","",""
"0707.00.20.45","5","Other","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"0707.00.20.50","5","Persian","[""kg""]","","","","",""
"0707.00.20.60","5","Long seedless","[""kg""]","","","","",""
"0707.00.20.70","5","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"0707.00.20.80","4","Certified organic","[""kg""]","","","","",""
"0707.00.20.90","4","Other","[""kg""]","","","","",""
"0707.00.40","1","If entered during the period from March 1 to April 30, inclusive, in any year","","5.6¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"0707.00.40.15","2","Gherkins","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"","3","Greenhouse:","","","","","",""
"","4","Certified organic:","","","","","",""
"0707.00.40.37","5","Persian","[""kg""]","","","","",""
"0707.00.40.40","5","Long seedless","[""kg""]","","","","",""
"0707.00.40.45","5","Other","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"0707.00.40.50","5","Persian","[""kg""]","","","","",""
"0707.00.40.60","5","Long seedless","[""kg""]","","","","",""
"0707.00.40.70","5","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"0707.00.40.80","4","Certified organic","[""kg""]","","","","",""
"0707.00.40.90","4","Other","[""kg""]","","","","",""
"0707.00.50","1","If entered during the period from May 1 to June 30, inclusive, or the period from September 1 to November 30, inclusive, in any year","","5.6¢/kg","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"0707.00.50.05","2","Gherkins","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"","3","Greenhouse:","","","","","",""
"","4","Certified organic:","","","","","",""
"0707.00.50.22","5","Persian","[""kg""]","","","","",""
"0707.00.50.24","5","Long seedless","[""kg""]","","","","",""
"0707.00.50.26","5","Other","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"0707.00.50.30","5","Persian","[""kg""]","","","","",""
"0707.00.50.50","5","Long seedless","[""kg""]","","","","",""
"0707.00.50.60","5","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"0707.00.50.70","4","Certified organic","[""kg""]","","","","",""
"0707.00.50.85","4","Other","[""kg""]","","","","",""
"0707.00.60","1","If entered during the period from July 1 to August 31, inclusive, in any year","","1.5¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"0707.00.60.05","2","Gherkins","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"","3","Greenhouse:","","","","","",""
"","4","Certified organic:","","","","","",""
"0707.00.60.13","5","Persian","[""kg""]","","","","",""
"0707.00.60.17","5","Long seedless","[""kg""]","","","","",""
"0707.00.60.21","5","Other","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"0707.00.60.24","5","Persian","[""kg""]","","","","",""
"0707.00.60.26","5","Long seedless","[""kg""]","","","","",""
"0707.00.60.28","5","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"0707.00.60.30","4","Not exceeding 15 cm (6 inches) in length and presented in bulk quantities of 453.6 kg (1,000 lbs) or more","[""kg""]","","","","",""
